discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,athlete_full_name,country_name,country_code,country_3_letter_code
Cycling BMX Racing,tokyo-2020,Women,Women,SILVER,Athlete,Mariana PAJÓN,Colombia,CO,COL
Cycling BMX Racing,tokyo-2020,Women,Women,BRONZE,Athlete,Merel SMULDERS,Netherlands,NL,NED
Triathlon,tokyo-2020,Women's Individual,Women,SILVER,Athlete,Georgia TAYLOR-BROWN,Great Britain,GB,GBR
Triathlon,tokyo-2020,Women's Individual,Women,GOLD,Athlete,Flora DUFFY,Bermuda,BM,BER
Triathlon,tokyo-2020,Women's Individual,Women,BRONZE,Athlete,Katie ZAFERES,United States of America,US,USA
Triathlon,tokyo-2020,Mixed Relay,Mixed,GOLD,GameTeam,,Great Britain,GB,GBR
Triathlon,tokyo-2020,Mixed Relay,Mixed,SILVER,GameTeam,,United States of America,US,USA
Triathlon,tokyo-2020,Mixed Relay,Mixed,BRONZE,GameTeam,,France,FR,FRA
Triathlon,tokyo-2020,Men's Individual,Men,SILVER,Athlete,Alex YEE,Great Britain,GB,GBR
Triathlon,tokyo-2020,Men's Individual,Men,BRONZE,Athlete,Hayden WILDE,New Zealand,NZ,NZL
Triathlon,tokyo-2020,Men's Individual,Men,GOLD,Athlete,Kristian BLUMMENFELT,Norway,NO,NOR
Surfing,tokyo-2020,Women,Women,SILVER,Athlete,Bianca BUITENDAG,South Africa,ZA,RSA
Surfing,tokyo-2020,Women,Women,GOLD,Athlete,Carissa MOORE,United States of America,US,USA
Surfing,tokyo-2020,Women,Women,BRONZE,Athlete,Amuro TSUZUKI,Japan,JP,JPN
Surfing,tokyo-2020,Men,Men,GOLD,Athlete,Italo Ferreira,Brazil,BR,BRA
Surfing,tokyo-2020,Men,Men,BRONZE,Athlete,Owen Wright,Australia,AU,AUS
Surfing,tokyo-2020,Men,Men,SILVER,Athlete,Kanoa Igarashi,Japan,JP,JPN
Table Tennis,tokyo-2020,Women's Team,Women,GOLD,GameTeam,,People's Republic of China,CN,CHN
Table Tennis,tokyo-2020,Women's Team,Women,SILVER,GameTeam,,Japan,JP,JPN
Table Tennis,tokyo-2020,Women's Team,Women,BRONZE,GameTeam,,"Hong Kong, China",HK,HKG
Table Tennis,tokyo-2020,Men's Singles,Men,SILVER,Athlete,Zhendong FAN,People's Republic of China,CN,CHN
Table Tennis,tokyo-2020,Men's Singles,Men,BRONZE,Athlete,Dimitrij OVTCHAROV,Germany,DE,GER
Table Tennis,tokyo-2020,Men's Singles,Men,GOLD,Athlete,Long MA,People's Republic of China,CN,CHN
