athlete_full_name,games_participations,first_game,athlete_year_birth
Eliska BREZINOVA,1,Beijing 2022,1996
Lindsay VAN ZUNDERT,1,Beijing 2022,2005
Vladimir LITVINTSEV,1,Beijing 2022,2001
Ivan SHMURATKO,1,Beijing 2022,2001
Konstantin MILYUKOV,1,Beijing 2022,1994
Donovan CARRILLO,1,Beijing 2022,1999
Lukas BRITSCHGI,1,Beijing 2022,1998
Adam SIAO HIM FA,1,Beijing 2022,2001
Mark KONDRATIUK,1,Beijing 2022,2003
Andrei MOZALEV,1,Beijing 2022,2003
Yuma KAGIYAMA,1,Beijing 2022,2003
Aleksandr SELEVKO,1,Beijing 2022,2001
Nikolaj MAJOROV,1,Beijing 2022,2000
Daniel GRASSL,1,Beijing 2022,2002
Sihyeong LEE,1,Beijing 2022,2000
Kevin AYMOZ,1,Beijing 2022,1997
Evgeni SEMENENKO,1,Beijing 2022,
Roman SADOVSKY,1,Beijing 2022,1999
Jonathan GUSTAFSON,1,Beijing 2022,1997
Saba KUMARITASHVILI,1,Beijing 2022,2000
Leon FELDERER,1,Beijing 2022,2000
Nico GLEIRSCHER,1,Beijing 2022,1997
Marian SKUPEK,1,Beijing 2022,2001
Svante KOHALA,1,Beijing 2022,1998
Michael LEJSEK,1,Beijing 2022,1998
Duoyao FAN,1,Beijing 2022,1997
Max LANGENHAN,1,Beijing 2022,1999
Gints BERZINS,1,Beijing 2022,2002
Aleksandr GORBATCEVICH,1,Beijing 2022,1994
Seiya KOBAYASHI,1,Beijing 2022,2001
Mirza NIKOLAJEV,1,Beijing 2022,2001
Tove KOHALA,1,Beijing 2022,2001
Nina ZOEGGELER,1,Beijing 2022,2001
Doina DESCALUI,1,Beijing 2022,2000
Natalie MAAG,1,Beijing 2022,1997
Yulianna TUNYTSKA,1,Beijing 2022,2003
Julia Taubitz,1,Beijing 2022,1996
Trinity ELLIS,1,Beijing 2022,2002
Victoria DEMCHENKO,1,Beijing 2022,1995
Elsa DESMOND,1,Beijing 2022,1997
Natalie CORLESS,1,Beijing 2022,2003
Klaudia DOMARADZKA,1,Beijing 2022,2000
Peixuan WANG,1,Beijing 2022,2000
Ashley FARQUHARSON,1,Beijing 2022,1999
Elina VITOLA,1,Beijing 2022,2000
Makena HODGSON,1,Beijing 2022,2000
Ekaterina KATNIKOVA,1,Beijing 2022,1994
Sin-Rong LIN,1,Beijing 2022,1998
Lisa SCHULTE,1,Beijing 2022,2000
Anna BERREITER,1,Beijing 2022,1999
Verena HOFER,1,Beijing 2022,2001
Anna CEZIKOVA,1,Beijing 2022,2002
Mikita LABASTAU,1,Beijing 2022,1997
Emilien JACQUELIN,1,Beijing 2022,1995
Fabien CLAUDE,1,Beijing 2022,1994
Tero SEPPALA,1,Beijing 2022,1996
Olli HIIDENSALO,1,Beijing 2022,1991
Rene ZAHKNA,1,Beijing 2022,1994
Thomas BORMOLINI,1,Beijing 2022,1991
Felix LEITNER,1,Beijing 2022,1996
Sturla Holm LAEGREID,1,Beijing 2022,1997
Blagoy TODEV,1,Beijing 2022,2001
Eduard LATYPOV,1,Beijing 2022,
Tsukasa KOBONOKI,1,Beijing 2022,1991
Artem PRYMA,1,Beijing 2022,1987
Mikulas KARLIK,1,Beijing 2022,1999
Philipp NAWRATH,1,Beijing 2022,1993
Xingyuan YAN,1,Beijing 2022,1996
Raido RAENKEL,1,Beijing 2022,1990
Adam RUNNALLS,1,Beijing 2022,1998
Kosuke OZAKI,1,Beijing 2022,1992
Sebastian SAMUELSSON,1,Beijing 2022,1997
Sean DOHERTY,1,Beijing 2022,1995
Scott GOW,1,Beijing 2022,1990
Fangming CHENG,1,Beijing 2022,1994
Vladimir ILIEV,1,Beijing 2022,1987
Grzegorz GUZIK,1,Beijing 2022,1991
Simon EDER,1,Beijing 2022,1983
Jakov FAK,1,Beijing 2022,1987
Roman REES,1,Beijing 2022,1993
Heikki LAITINEN,1,Beijing 2022,1994
Sebastian STALDER,1,Beijing 2022,1998
Joscha BURKHALTER,1,Beijing 2022,1996
Lovro PLANKO,1,Beijing 2022,2001
Simon DESTHIEUX,1,Beijing 2022,1991
Benjamin WEGER,1,Beijing 2022,1989
Niklas HARTWEG,1,Beijing 2022,2000
Jake BROWN,1,Beijing 2022,1992
Jules BURNOTTE,1,Beijing 2022,1996
Anton DUDCHENKO,1,Beijing 2022,1996
Lukas HOFER,1,Beijing 2022,1989
Alexandr MUKHIN,1,Beijing 2022,1998
Maxim TSVETKOV,1,Beijing 2022,1992
Jesper NELIN,1,Beijing 2022,1992
Jakub STVRTECKY,1,Beijing 2022,1998
Daniil SEROKHVOSTOV,1,Beijing 2022,1999
Vetle Sjaastad CHRISTIANSEN,1,Beijing 2022,1992
Michal KRCMAR,1,Beijing 2022,1991
Kristina REZTSOVA,1,Beijing 2022,
Yuliia DZHIMA,1,Beijing 2022,1990
Irina KAZAKEVICH,1,Beijing 2022,1997
Elvira OEBERG,1,Beijing 2022,1999
Lucie CHARVATOVA,1,Beijing 2022,1993
Julia SIMON,1,Beijing 2022,1996
Dzinara ALIMBEKAVA,1,Beijing 2022,1996
Alina STREMOUS,1,Beijing 2022,1995
Uliana NIGMATULLINA,1,Beijing 2022,1994
Marte Olsbu ROEISELAND,1,Beijing 2022,1990
Deedra IRWIN,1,Beijing 2022,1992
Vanessa VOIGT,1,Beijing 2022,1997
Hanna SOLA,1,Beijing 2022,1996
Ida LIEN,1,Beijing 2022,1997
Amy BASERGA,1,Beijing 2022,2000
Regina OJA,1,Beijing 2022,1996
Iryna LESHCHANKA,1,Beijing 2022,1991
Samuela COMOLA,1,Beijing 2022,1998
Julia SCHWAIGER,1,Beijing 2022,1996
Susan KUELM,1,Beijing 2022,1996
Iryna PETRENKO,1,Beijing 2022,1992
Tereza VOBORNIKOVA,1,Beijing 2022,2000
Svetlana MIRONOVA,1,Beijing 2022,1994
Polona KLEMENCIC,1,Beijing 2022,1997
Tuuli TOMINGAS,1,Beijing 2022,1995
Tomas SKLENARIK,1,Beijing 2022,1999
George COLTEA,1,Beijing 2022,2000
Paul SCHOMMER,1,Beijing 2022,1992
Matej BALOGA,1,Beijing 2022,1997
Bogdan TSYMBAL,1,Beijing 2022,1997
Cesar BEAUVAIS,1,Beijing 2022,2000
Linas BANYS,1,Beijing 2022,1998
Vladislav KIREYEV,1,Beijing 2022,2000
Maksim MAKAROV,1,Beijing 2022,1995
Tuomas HARJULA,1,Beijing 2022,1998
Patrick JAKOB,1,Beijing 2022,1996
Kristo SIIMER,1,Beijing 2022,1999
Rok TRSAN,1,Beijing 2022,1992
Dzmitry LAZOUSKI,1,Beijing 2022,1998
Pavel MAGAZEEV,1,Beijing 2022,1988
Leif NORDGREN,1,Beijing 2022,1989
David KOMATZ,1,Beijing 2022,1991
Miha DOVZAN,1,Beijing 2022,1994
Karol DOMBROVSKI,1,Beijing 2022,1991
Campbell WRIGHT,1,Beijing 2022,2002
Tommaso GIACOMEL,1,Beijing 2022,2000
Zhenyu ZHU,1,Beijing 2022,1999
Chunyu ZHANG,1,Beijing 2022,1998
Tom LAHAYE-GOFFART,1,Beijing 2022,1996
Yuanmeng CHU,1,Beijing 2022,1999
Erika JANKA,1,Beijing 2022,1995
Henrieta HORVATOVA,1,Beijing 2022,1999
Elena KRUCHYNKINA,1,Beijing 2022,1995
Megan BANKES,1,Beijing 2022,1997
Ziva KLEMENCIC,1,Beijing 2022,2001
Ukaleq Astri SLETTEMARK,1,Beijing 2022,2001
Veronika MACHYNIAKOVA,1,Beijing 2022,1997
Maria ZDRAVKOVA,1,Beijing 2022,1998
Nastassia KINNUNEN,1,Beijing 2022,1985
Gabriele LESCINSKAITE,1,Beijing 2022,1996
Emily DICKSON,1,Beijing 2022,1997
Sari MAEDA,1,Beijing 2022,1990
Kinga ZBYLUT,1,Beijing 2022,1995
Seonsu KIM,1,Beijing 2022,1989
Yuhuan DING,1,Beijing 2022,2003
Natalia USHKINA,1,Beijing 2022,1996
Fanqi MENG,1,Beijing 2022,1998
Alla GHILENKO,1,Beijing 2022,1992
Lora HRISTOVA,1,Beijing 2022,2003
Lotte LIE,1,Beijing 2022,1995
Harald LEMMERER,1,Beijing 2022,1991
Said Karimulla KHALILI,1,Beijing 2022,1998
Milan ZEMLICKA,1,Beijing 2022,1996
Didier BIONAZ,1,Beijing 2022,2000
Evgeniya BURTASOVA,1,Beijing 2022,1993
Darya BLASHKO,1,Beijing 2022,1996
Anna JUPPE,1,Beijing 2022,1999
Michela CARRARA,1,Beijing 2022,1997
Emilie Aagheim KALKENBERG,1,Beijing 2022,1997
William C. FLAHERTY,1,Beijing 2022,2004
Atle Lie MCGRATH,1,Beijing 2022,2000
Louis MUHLEN-SCHULTE,1,Beijing 2022,1998
Sebastian FOSS-SOLEVAAG,1,Beijing 2022,1991
Maksim GORDEEV,1,Beijing 2022,1995
Julian RAUCHFUSS,1,Beijing 2022,1994
Alexandru Stefan STEFANESCU ,1,Beijing 2022,1999
Mingfu XU,1,Beijing 2022,1997
Soso JAPHARIDZE,1,Beijing 2022,1996
Arif Mohd KHAN,1,Beijing 2022,1990
Yohei KOYAMA,1,Beijing 2022,1998
Miks Edgars ZVEJNIEKS,1,Beijing 2022,1995
Ricardo BRANCAL,1,Beijing 2022,1996
Matteo GATTI,1,Beijing 2022,2001
