athlete_full_name,athlete_year_birth
"roman rees",1993
"alvar johannes alev",1993
"kevin bolger",1993
"manuel faisst",1993
"rasmus windingstad",1993
"karlien sleper",1993
"vitaliy kalinichenko",1993
"mattias roenngren",1993
"boreum kim",1993
"dylan walczyk",1993
"romain detraz",1993
"ryan regez",1993
"jincai shang",1993
"lucie charvatova",1993
"haavard solaas taugboel",1993
"lidiia hunko",1993
"andrea cassinelli",1993
"adam fellner",1993
"priska nufer",1992
"simon d artois",1992
"yang zhao",1992
"jake brown",1992
"johan haeggstroem",1992
"maxim tsvetkov",1992
"jesper nelin",1992
"vetle sjaastad christiansen",1992
"kosuke ozaki",1992
"alla ghilenko",1992
"antoine gelinas-beaulieu",1992
"thomas krol",1992
"iryna petrenko",1992
"sakurako mukogawa",1992
"jingzhu jin",1992
"maarten meiners",1992
"joana haehlen",1992
"qi yin",1992
"deedra irwin",1992
"mirjam puchner",1992
"rok trsan",1992
"olivia bouffard-nesbitt",1992
"johannes strolz",1992
"paul schommer",1992
"yuma murakami",1992
"ruslan murashov",1992
"florian notz",1992
"viacheslav barkov",1992
"jongwon jeong",1992
"megan farrell",1992
"breeana walker",1992
"jenise spiteri",1992
"hanna huskova",1992
"eunji kim",1992
"tobias mueller",1992
"nadja wenger",1991
"tsukasa kobonoki",1991
"dominik schwaiger",1991
"harald lemmerer",1991
"simon desthieux",1991
"michal krcmar",1991
"olli hiidensalo",1991
"ryo sugai",1991
"sebastian foss-solevaag",1991
"coralie frasse sombet",1991
"thomas bormolini",1991
"daniel hemetsberger",1991
"maria victoria rodriguez lopez",1991
"samuel uduigowme ikpefan",1991
"david komatz",1991
"marcus wyatt",1991
"grzegorz guzik",1991
"iryna leshchanka",1991
"sebastien beaulieu",1991
"elena curtoni",1991
"karol dombrovski",1991
"urska pribosic",1990
"elena sokhryakova",1990
"raido raenkel",1990
"aleksander andrienko",1990
"yassine aouich",1990
"johannes rohrweck",1990
"scott gow",1990
"felix rijhnen",1990
"arif mohd khan",1990
"evgeniia lalenkova",1990
"nicholas timmings",1990
"aliaksandr voranau",1990
"pius paschke",1990
"robert burns",1990
"joos berry",1990
"anastasiia chirtcova",1990
"bastien midol",1990
"marte olsbu roeiseland",1990
"yuliia dzhima",1990
"semen elistratov",1990
"cynthia appiah",1990
"sari maeda",1990
"seonsu kim",1989
"roman-sergeevich trofimov",1989
"dmitriy reikherd",1989
"kelly curtis",1989
"lukas hofer",1989
"leif nordgren",1989
"andrew blaser",1989
"benjamin weger",1989
"mia kilburg",1989
"pavel magazeev",1988
"marit fjellanger boehm",1988
