athlete_full_name,COUNT(medal_type)
"hidilyn diaz",1
"mirko zanni",1
"luis javier mosquera lozano",1
"lijun chen",1
"xiaojun lyu",1
"zacarias bonnat michel",1
"antonino pizzolato",1
"sarah robles",1
"emily jade campbell",1
"wenwen li",1
"tamara yajaira salazar arce",1
"cismery dominga santana peguero",1
"zhouyu wang",1
"man asaad",1
"lasha talakhadze",1
"ali davoudi",1
"polina guryeva",1
"mikiko andoh",1
"hsing-chun kuo",1
"maude g charron",1
"giorgia bordignon",1
"wen-huei chen",1
"zhiyong shi",1
"julio ruben mayora pernia",1
"rahmat erwin abdullah",1
"chanu saikhom mirabai chanu",1
"windy cantika aisah",1
"zhihui hou",1
"keydomar giovanni vallenilla sanchez",1
"fares ibrahim e. h. elbakh",1
"anton pliesnoi",1
"aremi fuentes zavala",1
"neisi patricia dajomes barrera",1
"katherine elizabeth nye",1
"simon martirosyan",1
"arturs plesnieks",1
"akbar djuraev",1
"julia krajewski",1
"tom mcewen",1
"andrew hoy",1
"isabell werth",1
"charlotte dujardin",1
"jessica von bredow-werndl",1
"maikel van der vleuten",1
"ben maher",1
"peder fredricson",1
"woongtae jun",1
"ahmed elgendy",1
"joseph choong",1
"sarolta kovacs",1
"kate french",1
"laura asadauskaite",1
"faith chepngetich kipyegon",1
"laura muir",1
"fabrice zango hugues",1
"yaming zhu",1
"pedro p. pichardo",1
"peruth chemutai",1
"courtney frerichs",1
"hyvin kiyeng",1
"ryan crouser",1
"tomas walsh",1
"joe kovacs",1
"brittney reese",1
"ese brume",1
"malaika mihambo",1
"gudaf tsegay",1
"hellen onsando obiri",1
"eliud kipchoge",1
"bashir abdi",1
"abdi nageeye",1
"kelsey-lee roberts",1
"shiying liu",1
"maria andrejczyk",1
"ronald levy",1
"hansle parchment",1
"grant holloway",1
"miltiadis tentoglou",1
"maykel masso",1
"juan miguel echevarria",1
"neeraj chopra",1
"vitezslav vesely",1
"jakub vadlejch",1
"jonathan hilbert",1
"evan dunfee",1
"dawid tomala",1
"noah lyles",1
"kenneth bednarek",1
"allyson felix",1
"marileidy paulino",1
"shaunae miller-uibo",1
"shericka jackson",1
"shelly-ann fraser-pryce",1
"peres jepchirchir",1
"molly seidel",1
"brigid kosgei",1
"ana peleteiro",1
"patricia mamona",1
"yulimar rojas",1
"ferguson cheruiyot rotich",1
"patryk dobek",1
"emmanuel kipkurui korir",1
"valerie adams",1
"lijiao gong",1
"raven saunders",1
"sandra arenas",1
"hong liu",1
"antonella palmisano",1
"katie nageotte",1
"anzhelika sidorova",1
"holly bradshaw",1
"zheng wang",1
"anita wlodarczyk",1
"malwina kopron",1
"jasmine camacho-quinn",1
"megan tapper",1
"kendra harrison",1
"maksim nedasekau",1
"gianmarco tamberi",1
"mutaz essa barshim",1
"valarie allman",1
"kristin pudenz",1
"yaime perez",1
"kalkidan gezahegne",1
"letesenbet gidey",1
"wojciech nowicki",1
"eivind henriksen",1
"pawel fajdek",1
"benjamin kigen",1
"lamecha girma",1
"soufiane elbakkali",1
"athing mu",1
"raevyn rogers",1
"keely hodgkinson",1
"damian warner",1
"kevin mayer",1
"ashley moloney",1
